Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-09-22,Everything Everywhere All at Once,2022,https://boxd.it/b94i9d,4.5,,,2022-11-19
2025-09-22,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/b94lsn,4.5,,,2024-04-24
2025-09-22,Get Out,2017,https://boxd.it/b94jkV,4,,,2024-05-04
2026-01-04,Red Rooms,2023,https://boxd.it/cpDK51,4,,,2024-08-16
2026-01-07,Titanic,1997,https://boxd.it/cuLKXt,3.5,,,2024-10-24
2025-09-22,Black Swan,2010,https://boxd.it/b94mcv,4.5,,,2024-11-22
2025-09-22,Lady Bird,2017,https://boxd.it/b94lYD,4,,,2025-01-02
2025-09-22,American Psycho,2000,https://boxd.it/b94kML,3.5,,,2025-01-06
2026-01-04,Coherence,2013,https://boxd.it/cpHmmF,5,,,2025-02-02
2026-01-04,Primer,2004,https://boxd.it/cpHBoL,3.5,,,2025-02-03
2025-09-22,The Truman Show,1998,https://boxd.it/b94iTv,4,,,2025-02-07
2025-09-22,10 Things I Hate About You,1999,https://boxd.it/b94lGJ,3,,,2025-02-22
2026-01-04,Top Gun: Maverick,2022,https://boxd.it/cpDMBt,4,,,2025-03-07
2025-09-22,Whiplash,2014,https://boxd.it/b94ilt,4,,,2025-03-22
2026-01-04,Frank,2014,https://boxd.it/cpI4fN,4,,,2025-04-11
2025-09-26,Black Mirror: Eulogy,2025,https://boxd.it/bbdpIZ,5,,,2025-04-26
2026-01-04,Fight Club,1999,https://boxd.it/cpDLtX,3.5,Yes,,2025-07-02
2026-01-04,A Ghost Story,2017,https://boxd.it/cpF4DT,5,,,2025-08-29
2025-09-22,Parasite,2019,https://boxd.it/b94ejj,4.5,,,2025-09-22
2025-09-22,Interstellar,2014,https://boxd.it/b94hF3,5,,,2025-09-22
2025-09-22,Fight Club,1999,https://boxd.it/b94hPx,3.5,,,2025-09-22
2025-09-22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/b94j3v,4.5,,,2025-09-22
2025-09-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/b94jTh,4.5,,,2025-09-22
2025-09-22,Midsommar,2019,https://boxd.it/b94k1Z,3,,,2025-09-22
2025-09-22,Sinners,2025,https://boxd.it/b94kih,3,,,2025-09-22
2025-09-22,Knives Out,2019,https://boxd.it/b94l6r,3.5,,,2025-09-22
2025-09-22,Gone Girl,2014,https://boxd.it/b94mx9,3.5,,,2025-09-22
2025-09-22,Anora,2024,https://boxd.it/b94n2h,4,,,2025-09-22
2025-09-28,Spirited Away,2001,https://boxd.it/bcuzU5,4.5,,,2025-10-09
2026-01-26,The '70s,2002,https://boxd.it/cQ1icP,4,,,2025-10-14
2025-10-23,Pearl,2022,https://boxd.it/bs6cCD,4,,,2025-10-22
2025-10-23,Behind Her Eyes,2021,https://boxd.it/bs6dAX,4,,,2025-10-22
2025-10-23,Me and Earl and the Dying Girl,2015,https://boxd.it/bs6gdd,5,,,2025-10-22
2025-10-24,Past Lives,2023,https://boxd.it/bsFwm1,5,,,2025-10-23
2026-06-20,Fear Street: Prom Queen,2025,https://boxd.it/eR2lYf,0.5,,,2025-11-19
