Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-21,Every Spider-man films ranking,,https://boxd.it/TlXEs,Best to Worst

Position,Name,Year,URL,Description
1,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
2,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
3,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,
4,Spider-Man 2,2004,https://boxd.it/2a88,
5,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
6,Spider-Man,2002,https://boxd.it/2a8i,
7,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
8,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
9,The Amazing Spider-Man,2012,https://boxd.it/27PI,
10,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
11,Spider-Man 3,2007,https://boxd.it/2a7Y,
