Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-09-22,Parasite,2019,https://boxd.it/b94ejj,4.5,,crazy ghost,,2025-09-22
2025-09-22,Interstellar,2014,https://boxd.it/b94hF3,5,,how tf did he not die?,,2025-09-22
2025-09-22,Everything Everywhere All at Once,2022,https://boxd.it/b94i9d,4.5,,all for bagel,,2022-11-19
2025-09-22,Whiplash,2014,https://boxd.it/b94ilt,4,,so intense ending,,2025-03-22
2025-09-22,The Truman Show,1998,https://boxd.it/b94iTv,4,,"good afternoon, good evening, and good night",,2025-02-07
2025-09-22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/b94j3v,4.5,,oh man,,2025-09-22
2025-09-22,Get Out,2017,https://boxd.it/b94jkV,4,,never going to all yt party,,2024-05-04
2025-09-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/b94jTh,4.5,,i wish spooderman was there,,2025-09-22
2025-09-22,Midsommar,2019,https://boxd.it/b94k1Z,3,,crazyyyy,,2025-09-22
2025-09-22,Sinners,2025,https://boxd.it/b94kih,3,,hailee my love,,2025-09-22
2025-09-22,American Psycho,2000,https://boxd.it/b94kML,3.5,,ur trippin my dude,,2025-01-06
2025-09-22,Knives Out,2019,https://boxd.it/b94l6r,3.5,,i always get blamed too,,2025-09-22
2025-09-22,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/b94lsn,4.5,,"nah, imma do my own thing",,2024-04-24
2025-09-22,10 Things I Hate About You,1999,https://boxd.it/b94lGJ,3,,i love you babyyy,,2025-02-22
2025-09-22,Lady Bird,2017,https://boxd.it/b94lYD,4,,it was so real,,2025-01-02
2025-09-22,Black Swan,2010,https://boxd.it/b94mcv,4.5,,ur trippin tooo,,2024-11-22
2025-09-22,Gone Girl,2014,https://boxd.it/b94mx9,3.5,,toxic rs final boss,,2025-09-22
2025-09-22,Anora,2024,https://boxd.it/b94n2h,4,,she deserve love bro;(,,2025-09-22
2025-09-22,Weapons,2025,https://boxd.it/b94pN5,3.5,,"nah, aunt is more like ancestor",,2025-11-23
2025-09-26,Black Mirror: Eulogy,2025,https://boxd.it/bbdpIZ,5,,all you had to do was read the letter bro,,2025-04-26
2025-09-28,Spirited Away,2001,https://boxd.it/bcuzU5,4.5,,looking for some abandoned theme park,,2025-10-09
2025-10-23,Pearl,2022,https://boxd.it/bs6cCD,4,,i love mia goth,,2025-10-22
2025-10-23,Me and Earl and the Dying Girl,2015,https://boxd.it/bs6gdd,5,,fuck,,2025-10-22
2025-12-05,Bugonia,2025,https://boxd.it/bVJyId,4.5,,"oh he trippin… no maybe he actually not… oh no for sure not, he is trippin.. oh what",,2025-12-04
2025-12-11,Scott Pilgrim vs. the World,2010,https://boxd.it/c0u2IF,4,,fuck scott,,2025-12-11
2026-01-04,Little Miss Sunshine,2006,https://boxd.it/cpCAED,4.5,,"in a world full of bs, eat an ice cream.",,2026-01-03
2026-01-04,One Battle After Another,2025,https://boxd.it/cpDfFH,4,,I love Chase Infiniti,,2026-01-02
2026-01-04,Primer,2004,https://boxd.it/cpHBoL,3.5,,uhm what?,,2025-02-03
2026-01-07,It Ends,2025,https://boxd.it/cuRv9Z,4,,Acceptance frees you.,,2026-01-07
2026-01-10,The Silence of the Lambs,1991,https://boxd.it/cxsS8x,4.5,,great greattt,,2026-01-09
2026-01-12,(500) Days of Summer,2009,https://boxd.it/czZXvb,4.5,,fuck,,2026-01-11
2026-01-15,Burn After Reading,2008,https://boxd.it/cDmqBD,1.5,,tf this shit even abt,,2026-01-14
2026-01-16,The Prestige,2006,https://boxd.it/cEkOnF,5,,goated.,,2026-01-15
2026-01-17,Juno,2007,https://boxd.it/cFfrSf,4.5,,Michael Cera and having a child in the same sentence🥀,,2026-01-16
2026-01-20,Oldboy,2003,https://boxd.it/cJAZU3,5,,…,,2026-01-19
